X;Y;Z;Q1;Q2;Q3;Q4;Q5;Q6
1110;0;90;-0.2352141063519;8.11843010753362;-23.5829799461533;3.53582485366922;158.837169800502;0
1200;0;100;-0.220631525861074;0.150612102346123;-44.8418148267886;3.74109110196881;161.69789625499;0
1190;0;100;-0.221398398237852;1.41911901557615;-41.7307246450753;3.75316320260899;161.753623012309;0
1180;0;100;-0.0235436602488025;2.59135541452354;-38.8808787196591;3.74562235696305;161.549024337568;0
1170;0;100;-0.225041324748993;3.67849714998734;-36.2316647156656;3.73174984975617;161.221820605447;0
1160;0;100;-0.0298148189048875;4.69509849867939;-33.741248382305;3.70634587872046;160.846910731211;0
1150;0;100;-0.0329487659499038;5.64950854156252;-31.3847264484798;3.67166401396008;160.431801927145;0
1140;0;100;-0.0360407539010143;6.55006021277961;-29.1409965013372;3.63155211595699;159.996884064267;0
1130;0;100;-0.232205612700745;7.40169482636512;-26.993143976613;3.59476307712733;159.560228744343;0
1120;0;100;-0.0423651705504031;8.2117927302205;-24.9286809903942;3.55542455020317;159.129631438277;0
1110;0;100;-0.0451218766091713;8.98227964246719;-22.9387820694002;3.50749786000051;158.701108832215;0
1100;0;100;-0.236378268717713;9.71709800841171;-21.0168271261895;3.46434632659744;158.265682222917;0
1200;0;110;-0.019384689636455;1.11234590576634;-43.9579255743746;3.66761118310834;161.354025912076;0
1190;0;110;-0.220788819721764;2.3500984001476;-40.9034758219069;3.67462415412068;161.483187224345;0
1180;0;110;-0.0222839924880441;3.50075088600615;-38.0978743838641;3.66627431507636;161.32720094134;0
1170;0;110;-0.0250042061324395;4.5725755716792;-35.4844029711307;3.64728031445061;161.035131401577;0
1160;0;110;-0.027965784903637;5.57715846401036;-33.0266347773386;3.61885573633872;160.663936726058;0
1150;0;110;-0.22721090252142;6.52177145172882;-30.6960017988406;3.59311370226303;160.261293407119;0
1140;0;110;-0.0343742104113521;7.41562406227736;-28.4725283301114;3.55999659415422;159.849338875243;0
1130;0;110;-0.230576655795925;8.26181352462949;-26.342779669073;3.52552135469026;159.42682783623;0
1120;0;110;-0.232364506017072;9.0681716151013;-24.2972426300845;3.49200932999616;158.984259318346;0
1110;0;110;-0.0437076597745233;9.83721053984329;-22.3226754608751;3.44858035171367;158.553885578409;0
1100;0;110;-0.0462737568524107;10.5708396968148;-20.4122687248249;3.39907065345531;158.130947856688;0
1090;0;110;-0.0487233431177101;11.2731910640438;-18.5612527615923;3.34713476000724;157.704857005835;0
1200;0;120;-0.219455022192887;2.05201917663306;-43.1249850202974;3.55812904519032;161.009327792703;0
1190;0;120;-0.0181081225143027;3.26391331798465;-40.1200753040368;3.56336263591197;161.217572282838;0
1180;0;120;-0.0199079956128729;4.39443051284961;-37.3540253912612;3.55402860058268;161.110801799245;0
1170;0;120;-0.221393716716941;5.45176359331487;-34.7746289418828;3.5406745861057;160.839691715749;0
